Bradi2g53600	Os01t0823400-01
Bradi3g08040	Os02t0215000-01
Bradi1g58450	Os07t0152000-01
Bradi2g22530	Os05t0472400-01
Bradi4g28020	Os04t0689800-00
Bradi2g18010	Os05t0543100-01
Bradi3g43475	Os02t0478700-01
Bradi2g04020	Os01t0972200-01
Bradi4g06665	Os12t0507600-01
Bradi1g00860	Os08t0504400-02
Bradi5g10150	Os04t0430000-01
Bradi2g22963	Os05t0463300-00
Bradi5g14920	Os04t0504200-01
Bradi1g65060	Os03t0298600-01
Bradi2g34986	Os11t0479100-00
Bradi1g30450	Os01t0658500-01
Bradi1g39229	Os11t0471300-01
Bradi1g19695	Os07t0644200-01
Bradi2g37460	Os05t0115900-02
Bradi3g56587	Os02t0722400-01
Bradi1g51377	Os07t0300200-01
Bradi3g19677	Os02t0797200-01
Bradi1g74590	Os03t0157900-01
Bradi4g17046	Os11t0536800-01
Bradi1g69330	Os03t0225900-01
Bradi3g04490	Os02t0158900-01
Bradi4g38620	Os09t0569100-01
Bradi4g33640	Os09t0487200-01
Bradi1g54250	Os07t0208500-01
Bradi5g04600	Os04t0250700-01
Bradi1g32190	Os11t0539700-00
Bradi1g15474	Os08t0410950-00
Bradi1g38670	Os06t0526800-00
Bradi4g02256	Os04t0208500-01
Bradi4g42020	Os02t0610000-00
Bradi1g57190	Os07t0158300-01
Bradi5g21950	Os04t0618600-01
Bradi3g03340	Os02t0137600-01
Bradi2g53630	Os01t0823700-01
Bradi1g46400	Os02t0124000-01
Bradi1g08530	Os03t0749900-01
Bradi1g20050	Os07t0638100-01
Bradi5g25800	Os04t0672200-01
Bradi4g09567	Os11t0700500-01
Bradi1g37080	Os06t0592500-01
Bradi4g24920	Os06t0699500-02
Bradi2g57534	Os11t0258500-00
Bradi1g66710	Os03t0273800-01
Bradi3g56980	Os02t0826000-00
Bradi2g23150	Os05t0461000-01
Bradi4g31750	Os09t0448900-01
Bradi4g16463	Os06t0647200-02
Bradi2g23790	Os05t0446800-02
Bradi4g21250	Os11t0242500-01
Bradi1g54911	Os07t0454700-01
Bradi2g06280	Os01t0201400-01
Bradi5g05430	Os08t0320400-01
Bradi2g24060	Os05t0439300-01
Bradi1g68520	Os03t0240700-01
Bradi1g54940	Os07t0188800-01
Bradi2g25887	Os05t0401500-01
Bradi3g54387	Os02t0802700-03
Bradi1g67550	Os07t0645300-01
Bradi2g30810	Os05t0306000-01
Bradi2g05710	Os01t0191500-01
Bradi5g24750	Os11t0441900-01
Bradi3g14570	Os08t0137400-01
Bradi3g18280	Os08t0224700-01
Bradi1g31130	Os10t0205500-01
Bradi1g03827	Os03t0819700-01
Bradi2g51696	Os01t0778500-01
Bradi1g45040	Os02t0743500-01
Bradi2g21380	Os05t0492000-00
Bradi1g32480	Os02t0762200-01
Bradi4g05540	Os12t0541300-01
Bradi1g22600	Os07t0598300-03
Bradi5g22690	Os05t0192500-00
Bradi2g11870	Os01t0312800-01
Bradi1g01007	Os03t0856200-01
Bradi4g33510	Os09t0484200-01
Bradi3g31370	Os10t0520600-01
Bradi5g27050	Os04t0687300-01
Bradi2g62572	Os08t0495300-01
Bradi1g41677	Os02t0230625-00
Bradi2g40950	Os01t0552300-01
Bradi3g12565	Os09t0571700-00
Bradi2g34030	Os01t0178500-02
Bradi1g47830	Os02t0320800-01
Bradi4g14566	Os12t0486800-01
Bradi2g23820	Os05t0446300-01
Bradi5g01350	Os02t0697300-01
Bradi2g52300	Os01t0793900-01
Bradi1g14430	Os03t0625800-01
Bradi4g30680	Os09t0425300-00
Bradi1g27140	Os05t0294600-01
Bradi5g13350	Os04t0476100-01
Bradi1g44460	Os06t0247500-01
Bradi3g55670	Os02t0820400-01
Bradi4g23887	Os11t0181400-01
Bradi5g27596	Os04t0692500-01
Bradi1g63180	Os03t0336100-01
Bradi2g52790	Os01t0805900-01
Bradi3g00967	Os02t0106900-01
Bradi5g21250	Os04t0610400-01
Bradi1g59501	Os07t0105300-02
Bradi1g25030	Os06t0248200-01
Bradi4g24807	Os07t0122900-01
Bradi5g20756	Os04t0603400-01
Bradi3g58180	Os02t0761300-00
Bradi5g09180	Os04t0409500-01
Bradi2g56780	Os01t0878800-01
Bradi2g57500	Os01t0894300-02
Bradi2g21280	Os01t0803200-01
Bradi1g29600	Os11t0475600-01
Bradi3g42860	Os08t0558700-01
Bradi1g68710	Os03t0237600-04
Bradi3g05115	Os08t0493100-01
Bradi5g20090	Os02t0288000-01
Bradi2g20320	Os05t0509700-01
Bradi4g45380	Os12t0100100-01
Bradi4g42430	Os04t0479800-01
Bradi1g67210	Os03t0264800-00
Bradi2g35110	Os05t0154900-01
Bradi1g73140	Os03t0171700-01
Bradi1g15850	Os03t0440900-02
Bradi5g13230	Os04t0472900-01
Bradi5g20340	Os04t0598300-01
Bradi3g47900	Os02t0627700-00
Bradi1g53567	Os07t0240400-01
Bradi4g04440	Os12t0565300-01
Bradi5g14720	Os04t0500700-02
Bradi2g46700	Os01t0683100-01
Bradi2g08020	Os01t0234900-01
Bradi2g33900	Os05t0180500-01
Bradi2g20460	Os05t0508300-01
Bradi2g43140	Os01t0284300-00
Bradi4g32901	Os09t0473650-01
Bradi1g77335	Os03t0118100-01
Bradi3g18310	Os08t0225000-01
Bradi2g09085	Os01t0254200-01
Bradi5g26520	Os04t0682500-01
Bradi1g33843	Os08t0443600-00
Bradi1g17420	Os07t0684900-01
Bradi3g19980	Os08t0296900-01
Bradi5g04650	Os02t0288000-01
Bradi1g15377	Os03t0586700-01
Bradi2g51255	Os01t0771400-00
Bradi2g27070	Os05t0378800-02
Bradi3g34600	Os10t0579800-02
Bradi2g46070	Os01t0667700-01
Bradi4g01810	Os03t0625900-01
Bradi2g56810	Os01t0880200-01
Bradi1g22037	Os07t0604300-01
Bradi4g39830	Os12t0153600-00
Bradi2g59037	Os01t0921200-01
Bradi2g02870	Os01t0143300-01
Bradi1g68516	Os03t0240800-01
Bradi4g30040	Os09t0411650-01
Bradi4g23140	Os11t0208400-01
Bradi1g49180	Os06t0152800-01
Bradi2g16140	Os05t0567300-01
Bradi1g26510	Os07t0510200-01
Bradi4g02060	Os12t0610600-01
Bradi2g42040	Os01t0585300-01
Bradi2g57150	Os01t0884900-01
Bradi4g28230	Os09t0331600-00
Bradi1g32540	Os06t0678100-00
Bradi2g55297	Os01t0855200-01
Bradi5g11620	Os04t0447500-01
Bradi3g57717	Os02t0770100-01
Bradi3g18730	Os08t0241300-01
Bradi4g03046	Os05t0580550-00
Bradi2g47110	Os01t0692100-01
Bradi4g38950	Os09t0572200-01
Bradi2g32062	Os10t0478500-00
Bradi2g10700	Os01t0278000-00
Bradi2g10557	Os10t0116200-00
Bradi1g00227	Os08t0260800-00
Bradi1g43900	Os06t0265400-01
Bradi1g38180	Os06t0552300-01
Bradi2g53590	Os01t0823300-00
Bradi1g26360	Os01t0687800-00
Bradi3g56730	Os02t0827300-01
Bradi5g26930	Os04t0686700-01
Bradi1g09080	Os03t0743200-01
Bradi2g55430	Os01t0857400-01
Bradi1g04430	Os03t0808500-00
Bradi3g09940	Os02t0267200-00
Bradi1g59390	Os07t0107583-00
Bradi2g51440	Os02t0780200-01
Bradi1g64620	Os03t0305200-01
Bradi2g43650	Os01t0617500-01
Bradi2g56500	Os05t0430300-01
Bradi2g47076	Os01t0691400-00
Bradi1g66296	Os03t0279950-01
Bradi2g50717	Os01t0763700-01
Bradi1g49590	Os06t0127300-01
Bradi1g06300	Os03t0788500-01
Bradi4g40790	Os12t0188900-01
Bradi2g15760	Os05t0574000-00
Bradi3g42290	Os08t0550200-01
Bradi4g37540	Os09t0555700-02
Bradi2g23797	Os05t0445900-01
Bradi4g27840	Os09t0309600-01
Bradi2g25220	Os05t0417900-00
Bradi3g19180	Os08t0260000-01
Bradi1g08010	Os01t0513900-01
Bradi3g55987	Os04t0303100-00
Bradi3g42060	Os08t0546100-00
Bradi3g43000	Os08t0560300-01
Bradi1g54720	Os07t0193000-01
Bradi2g57867	Os01t0901700-01
Bradi3g34077	Os10t0573700-01
Bradi3g45627	Os01t0813700-01
Bradi5g20107	Os04t0593700-01
Bradi3g08280	Os02t0221100-00
Bradi4g45166	Os09t0331100-00
Bradi1g46730	Os06t0193000-01
Bradi3g32760	Os10t0547900-01
Bradi2g02250	Os01t0133500-01
Bradi1g17790	Os07t0677600-01
Bradi1g46120	Os02t0767800-00
Bradi2g57415	Os01t0890900-00
Bradi3g51356	Os02t0666600-01
Bradi1g42930	Os02t0720900-01
Bradi3g19670	Os08t0277200-01
Bradi2g10770	Os01t0279100-01
Bradi4g22946	Os11t0209600-01
Bradi3g58620	Os02t0757100-01
Bradi1g76070	Os03t0135200-01
Bradi3g15620	Os08t0175300-01
Bradi4g21510	Os11t0242200-00
Bradi1g45097	Os06t0231100-00
Bradi5g00980	Os04t0171600-01
Bradi1g26600	Os07t0508200-01
Bradi5g02870	Os04t0194500-01
Bradi1g50740	Os06t0119100-01
Bradi4g37267	Os09t0552300-01
Bradi1g02590	Os03t0835900-01
Bradi1g33950	Os06t0698748-02
Bradi4g00497	Os12t0638800-00
Bradi1g65571	Os03t0290500-01
Bradi2g30500	Os01t0848700-01
Bradi2g26190	Os05t0393900-00
Bradi2g08790	Os01t0249200-01
Bradi4g16110	Os06t0313320-00
Bradi4g00670	Os12t0636400-01
Bradi4g43330	Os12t0135850-00
Bradi2g41710	Os01t0578000-01
Bradi2g54817	Os01t0846500-01
Bradi3g06480	Os02t0187800-01
Bradi3g37047	Os08t0437300-00
Bradi1g28860	Os11t0465200-01
Bradi4g37188	Os09t0551201-00
Bradi1g15270	Os03t0593200-01
Bradi1g33180	Os06t0691500-00
Bradi2g15210	Os05t0581300-00
Bradi4g44480	Os11t0112300-01
Bradi1g47610	Os06t0179800-01
Bradi4g38890	Os09t0571500-01
Bradi3g53530	Os02t0538000-01
Bradi3g02810	Os02t0129800-01
Bradi5g09657	Os04t0416500-01
Bradi2g59320	Os01t0925200-01
Bradi3g49370	Os02t0629400-01
Bradi4g34880	Os09t0510700-01
Bradi2g61070	Os01t0953600-02
Bradi2g43320	Os01t0612200-01
Bradi3g09620	Os02t0256200-02
Bradi3g52030	Os02t0687500-01
Bradi1g37460	Os06t0572400-01
Bradi1g08201	Os03t0756800-01
Bradi1g72400	Os03t0184000-01
Bradi2g33437	Os05t0279900-00
Bradi1g07310	Os03t0770000-00
Bradi3g32160	Os10t0537600-01
Bradi2g30695	Os05t0322900-02
Bradi1g17620	Os07t0681100-01
Bradi4g16510	Os11t0549900-01
Bradi4g37260	Os09t0551800-00
Bradi1g61730	Os03t0363800-01
Bradi2g40780	Os01t0549700-01
Bradi1g61510	Os03t0369800-01
Bradi1g18270	Os07t0670300-01
Bradi1g08030	Os03t0758500-02
Bradi1g49527	Os07t0285900-00
Bradi3g16260	Os10t0112600-01
Bradi1g62277	Os03t0353600-01
Bradi4g31830	Os09t0451500-01
Bradi4g42915	Os11t0146750-00
Bradi1g54580	Os08t0114200-01
Bradi5g20960	Os04t0606900-01
Bradi4g10235	Os10t0123200-01
Bradi3g29300	Os10t0486000-01
Bradi1g62890	Os03t0341300-01
Bradi1g45890	Os06t0215300-01
Bradi5g16557	Os04t0530700-01
Bradi1g24680	Os07t0563800-02
Bradi1g69270	Os03t0233000-01
Bradi4g21890	Os11t0227200-01
Bradi4g44370	Os11t0117500-01
Bradi1g60830	Os07t0415200-01
Bradi2g03460	Os01t0104400-01
Bradi3g51790	Os02t0681700-01
Bradi5g08320	Os04t0391000-00
Bradi3g60210	Os02t0786200-01
Bradi1g03110	Os03t0829200-01
Bradi2g54650	Os01t0841600-01
Bradi3g57620	Os02t0771600-01
Bradi2g57920	Os01t0902300-01
Bradi2g16718	Os01t0673400-00
Bradi1g10610	Os03t0718500-00
Bradi1g51570	Os06t0136000-01
Bradi2g04130	Os01t0167500-01
Bradi1g03367	Os03t0825800-01
Bradi2g22680	Os05t0468600-00
Bradi5g01270	Os04t0129600-01
Bradi1g19560	Os07t0647200-00
Bradi5g18697	Os04t0568800-01
Bradi3g14520	Os08t0137100-01
Bradi5g22836	Os05t0193700-00
Bradi2g17390	Os05t0551900-00
Bradi1g66610	Os03t0275900-01
Bradi3g39630	Os09t0482400-01
Bradi1g20080	Os07t0637400-01
Bradi4g00570	Os05t0167600-01
Bradi5g10460	Os04t0434400-01
Bradi4g28860	Os09t0363800-00
Bradi2g41950	Os01t0583100-01
Bradi4g01717	Os12t0613850-00
Bradi1g66980	Os03t0267800-01
Bradi2g55020	Os01t0850100-01
Bradi3g36920	Os08t0440900-01
Bradi2g38163	Os05t0126800-01
Bradi1g72830	Os03t0177000-01
Bradi3g31430	Os10t0521300-01
Bradi1g34040	Os06t0699500-02
Bradi5g13490	Os04t0479200-01
Bradi4g36070	Os09t0532200-00
Bradi4g09110	Os04t0211900-01
Bradi2g06530	Os01t0206300-00
Bradi1g44110	Os06t0256900-01
Bradi5g23087	Os04t0634000-01
Bradi3g15220	Os08t0189700-01
Bradi4g16547	Os11t0549635-00
Bradi1g18070	Os07t0673500-01
Bradi3g27500	Os02t0529800-00
Bradi2g31810	Os05t0230900-01
Bradi4g25717	Os12t0116400-00
Bradi1g18500	Os07t0668900-01
Bradi2g07260	Os05t0215600-01
Bradi4g11320	Os11t0656201-00
Bradi3g36250	Os08t0425800-01
Bradi3g12510	Os08t0562600-03
Bradi2g48278	Os01t0718300-01
Bradi3g57700	Os02t0770600-02
Bradi4g43257	Os12t0137200-01
Bradi3g22520	Os10t0163040-01
Bradi1g20480	Os07t0631200-01
Bradi1g31060	Os06t0652100-00
Bradi2g46970	Os01t0689600-01
Bradi3g47890	Os02t0600200-01
Bradi1g64420	Os03t0308200-01
Bradi2g15800	Os05t0573500-01
Bradi1g37410	Os11t0451700-00
Bradi1g11817	Os03t0695700-01
Bradi2g59700	Os01t0931200-01
Bradi3g60652	Os04t0689800-00
Bradi3g48010	Os02t0602400-01
Bradi2g47760	Os01t0706500-00
Bradi1g24160	Os07t0569550-00
Bradi4g41790	Os12t0164800-01
Bradi4g37247	Os09t0551600-01
Bradi1g05794	Os12t0488300-00
Bradi1g15760	Os03t0568500-01
Bradi3g02600	Os02t0126400-01
Bradi3g60870	Os02t0833600-01
Bradi2g21880	Os05t0488600-01
Bradi3g12730	Os08t0565900-01
Bradi4g14850	Os11t0592700-00
Bradi1g21320	Os07t0622100-01
Bradi1g11160	Os03t0708500-00
Bradi4g31110	Os09t0437500-01
Bradi2g46770	Os05t0553400-01
Bradi1g08907	Os03t0744700-01
Bradi5g18540	Os04t0566500-05
Bradi2g13101	Os03t0639233-00
Bradi1g66150	Os03t0281600-01
Bradi5g23730	Os04t0644000-01
Bradi1g33900	Os06t0698300-01
Bradi1g24051	Os07t0571800-01
Bradi3g51970	Os02t0685900-00
Bradi1g26457	Os07t0511000-01
Bradi4g39840	Os12t0153700-00
Bradi1g26830	Os07t0501800-01
Bradi2g17040	Os05t0557000-01
Bradi2g51000	Os01t0767100-01
Bradi5g17023	Os04t0538900-00
Bradi2g49500	Os01t0743200-01
Bradi2g57386	Os01t0889800-01
Bradi1g37360	Os06t0574500-01
Bradi4g28310	Os01t0348600-01
Bradi2g47256	Os01t0694000-01
Bradi2g50420	Os01t0759000-01
Bradi3g46960	Os02t0580300-01
Bradi5g14137	Os04t0490300-01
Bradi1g68270	Os03t0242900-01
Bradi3g50140	Os02t0645000-01
Bradi1g59715	Os07t0102200-01
Bradi1g06425	Os10t0144800-00
Bradi1g01860	Os03t0845300-01
Bradi3g12847	Os08t0100200-00
Bradi1g04310	Os03t0810900-01
Bradi5g13520	Os04t0480400-01
Bradi1g15940	Os03t0448600-01
Bradi3g59135	Os12t0193800-01
Bradi1g50597	Os06t0116200-01
Bradi1g36781	Os06t0600800-01
Bradi3g48940	Os02t0620400-01
Bradi3g33680	Os07t0456900-01
Bradi5g08830	Os04t0403701-01
Bradi4g31130	Os09t0438000-01
Bradi1g77980	Os12t0545400-00
Bradi3g49120	Os02t0622400-01
Bradi2g28031	Os05t0358101-00
Bradi3g35310	Os08t0401500-01
Bradi1g32630	Os06t0676600-01
Bradi1g62200	Os03t0355500-00
Bradi1g13090	Os03t0661300-01
Bradi1g19591	Os04t0626600-01
Bradi3g36600	Os08t0432500-01
Bradi2g23090	Os05t0461400-02
Bradi2g58912	Os01t0919700-01
Bradi1g50120	Os06t0133400-01
Bradi1g17884	Os11t0286400-00
Bradi2g17982	Os05t0543600-01
Bradi2g46250	Os01t0672500-01
Bradi1g64320	Os03t0310400-01
Bradi3g45500	Os02t0457325-00
Bradi3g58080	Os02t0763000-01
Bradi4g32010	Os09t0454300-01
Bradi2g45810	Os01t0663500-01
Bradi1g08950	Os06t0265900-00
Bradi3g08030	Os02t0214300-01
Bradi2g19670	Os05t0518000-01
Bradi3g52400	Os02t0698000-01
Bradi5g21030	Os04t0607600-01
Bradi1g51370	Os06t0138400-00
Bradi4g20665	Os11t0201900-00
Bradi2g46910	Os01t0688200-01
Bradi5g18590	Os04t0566600-01
Bradi4g01747	Os12t0613600-01
Bradi1g16110	Os08t0126700-01
Bradi3g28857	Os10t0478400-00
Bradi1g46880	Os06t0191300-01
Bradi3g18430	Os09t0552500-01
Bradi3g43310	Os02t0469900-01
Bradi3g38350	Os08t0477800-01
Bradi4g06110	Os12t0528100-00
Bradi2g51688	Os01t0778400-00
Bradi1g08620	Os03t0748700-01
Bradi1g07820	Os03t0761900-01
Bradi1g13971	Os03t0639600-01
Bradi3g23130	Os10t0548400-00
Bradi2g02410	Os01t0136100-01
Bradi4g15337	Os11t0579900-01
Bradi4g42570	Os11t0151200-01
Bradi3g04960	Os06t0672400-01
Bradi1g61450	Os10t0100500-01
Bradi4g29071	Os09t0370300-01
Bradi3g54220	Os02t0797700-01
Bradi4g27770	Os09t0307400-00
Bradi5g20315	Os04t0597866-01
Bradi1g06710	Os03t0781600-01
Bradi3g40810	Os03t0733400-01
Bradi1g63390	Os03t0332533-01
Bradi1g08860	Os01t0149600-01
Bradi2g15490	Os05t0584600-02
Bradi1g00900	Os03t0857900-02
Bradi1g53730	Os07t0230500-00
Bradi1g03350	Os03t0826300-00
Bradi1g48320	Os06t0166400-01
Bradi5g09000	Os04t0277400-01
Bradi1g65290	Os03t0295700-01
Bradi1g70670	Os03t0207800-00
Bradi1g78130	Os03t0106400-01
Bradi2g34162	Os02t0219000-01
Bradi2g03790	Os01t0526200-01
Bradi3g00620	Os02t0103200-00
Bradi2g36897	Os05t0137200-01
Bradi5g13070	Os04t0471400-01
Bradi1g13590	Os03t0648900-02
Bradi5g16600	Os04t0531500-01
Bradi2g39690	Os05t0106100-01
Bradi3g53370	Os02t0716500-01
Bradi1g78151	Os03t0106300-01
Bradi3g03520	Os02t0139300-01
Bradi1g53190	Os07t0256200-01
Bradi5g11910	Os04t0450701-00
Bradi3g08830	Os02t0230200-01
Bradi4g19600	Os11t0448000-00
Bradi3g52480	Os02t0700000-01
Bradi2g20370	Os05t0509200-01
Bradi1g54807	Os07t0191700-01
Bradi1g55240	Os03t0424200-01
Bradi2g25300	Os05t0415800-01
Bradi4g13792	Os02t0760600-01
Bradi1g76990	Os03t0123300-01
Bradi1g66430	Os03t0278300-04
Bradi2g11910	Os01t0314300-01
Bradi2g12427	Os01t0332100-01
Bradi2g07830	Os01t0232100-01
Bradi1g44047	Os06t0259000-01
Bradi1g58480	Os07t0152900-01
Bradi4g19030	Os11t0490100-01
Bradi2g07490	Os01t0513700-02
Bradi2g50550	Os12t0181900-01
Bradi1g41750	Os06t0347300-00
Bradi5g04673	Os04t0252200-02
Bradi3g52680	Os02t0704000-01
Bradi1g13440	Os03t0654400-01
Bradi2g16170	Os08t0191200-01
Bradi4g00540	Os10t0378000-00
Bradi1g08880	Os08t0207951-00
Bradi1g50980	Os06t0148100-00
Bradi2g17090	Os05t0556100-01
Bradi4g07630	Os12t0465700-01
Bradi2g60670	Os01t0949400-02
Bradi2g57420	Os01t0891000-01
Bradi2g47220	Os01t0693400-01
Bradi1g13940	Os03t0640000-00
Bradi4g04567	Os12t0563400-01
Bradi2g03920	Os01t0161300-00
Bradi3g36808	Os08t0468400-01
Bradi1g70730	Os01t0879200-01
Bradi4g36370	Os09t0535900-01
Bradi2g07370	Os01t0224200-00
Bradi3g02900	Os02t0131200-01
Bradi3g40200	Os08t0512600-01
Bradi3g48567	Os02t0612700-01
Bradi2g45680	Os01t0661000-01
Bradi3g54080	Os02t0795900-01
Bradi4g17030	Os11t0537350-00
Bradi3g28735	Os10t0476500-01
Bradi4g25870	Os11t0114700-02
Bradi2g43127	Os02t0167500-01
Bradi1g70580	Os03t0558700-01
Bradi2g54814	Os07t0199000-01
Bradi2g46840	Os01t0686800-02
Bradi2g09420	Os08t0422600-00
Bradi3g44677	Os02t0526700-00
Bradi2g04471	Os01t0172300-01
Bradi3g05280	Os02t0170701-00
Bradi1g49276	Os06t0152000-01
Bradi3g52180	Os02t0693000-01
Bradi3g60880	Os02t0833900-01
Bradi4g17317	Os11t0525600-01
Bradi1g27021	Os07t0546800-00
Bradi1g31090	Os06t0651300-01
Bradi2g53297	Os01t0816700-01
Bradi3g51600	Os02t0676500-00
Bradi2g02340	Os01t0135700-01
Bradi3g47867	Os02t0598400-02
Bradi2g18677	Os05t0535500-01
Bradi5g12338	Os11t0705200-01
Bradi4g31690	Os09t0447000-00
Bradi4g07637	Os05t0272800-01
Bradi5g23680	Os04t0643300-01
Bradi3g42937	Os05t0358200-01
Bradi3g42400	Os08t0548400-00
Bradi3g37590	Os08t0455800-01
Bradi2g19250	Os05t0525800-00
Bradi3g16967	Os08t0153600-00
Bradi2g39517	Os08t0539400-01
Bradi3g54475	Os06t0556300-01
Bradi4g17287	Os11t0528200-01
Bradi1g22757	Os11t0303300-00
Bradi2g48200	Os01t0715900-01
Bradi1g35950	Os06t0614300-01
Bradi1g14650	Os03t0563100-01
Bradi1g49707	Os06t0129000-01
Bradi3g20470	Os08t0313200-01
Bradi3g56100	Os02t0826100-01
Bradi3g04750	Os10t0317900-01
Bradi2g07293	Os01t0222600-01
Bradi1g11670	Os03t0700700-01
Bradi2g06040	Os01t0198000-01
Bradi3g10580	Os04t0612700-01
Bradi1g70810	Os03t0206150-00
Bradi4g41160	Os03t0802700-01
Bradi5g11770	Os04t0449200-01
Bradi2g01320	Os01t0116900-00
Bradi2g14170	Os05t0596500-01
Bradi4g02877	Os02t0297900-00
Bradi5g09737	Os04t0417800-01
Bradi4g00300	Os12t0641200-01
Bradi2g61387	Os01t0959600-00
Bradi4g31710	Os09t0447300-01
Bradi2g01740	Os05t0143600-01
Bradi4g25457	Os11t0153400-01
Bradi1g46520	Os06t0199800-01
Bradi4g31630	Os09t0516800-01
Bradi1g11800	Os03t0696300-01
Bradi1g60846	Os03t0387900-01
Bradi1g46831	Os09t0555450-00
Bradi3g17170	Os08t0151000-00
Bradi1g24840	Os10t0317900-01
Bradi1g19350	Os07t0655800-00
Bradi2g08856	Os01t0186400-01
Bradi3g60290	Os02t0827600-01
Bradi1g44710	Os06t0238900-01
Bradi3g13420	Os08t0110000-01
Bradi3g46590	Os02t0573200-01
Bradi3g55130	Os02t0814600-01
Bradi2g27130	Os05t0375600-00
Bradi2g53082	Os01t0813400-01
Bradi2g35987	Os01t0372700-01
Bradi1g01933	Os07t0463800-00
Bradi3g14406	Os08t0135100-01
Bradi2g05260	Os01t0183300-01
Bradi1g69870	Os03t0215700-01
Bradi1g54270	Os03t0807800-01
Bradi1g05360	Os06t0711600-01
Bradi1g61720	Os03t0363900-01
Bradi1g01730	Os03t0848600-01
Bradi1g37430	Os06t0573800-01
Bradi1g27930	Os05t0177000-01
Bradi3g33740	Os10t0565300-01
Bradi1g56020	Os07t0172900-01
Bradi1g26020	Os07t0522900-01
Bradi3g36160	Os08t0425000-01
Bradi1g52740	Os07t0282300-01
Bradi3g26391	Os12t0274700-01
Bradi2g47980	Os01t0711000-01
Bradi1g37770	Os06t0563000-01
Bradi2g04550	Os01t0172900-00
Bradi2g06730	Os01t0210500-01
Bradi5g17460	Os03t0748200-01
Bradi4g26465	Os08t0338500-01
Bradi2g51200	Os01t0770500-01
Bradi1g31270	Os06t0655100-00
Bradi2g42670	Os01t0599900-00
Bradi2g53830	Os01t0827700-00
Bradi3g03700	Os02t0142250-00
Bradi1g37660	Os06t0566500-02
Bradi1g44900	Os06t0234800-01
Bradi1g05880	Os06t0215533-00
Bradi4g07911	Os12t0438300-01
Bradi4g31080	Os09t0437100-00
Bradi3g42930	Os02t0286700-00
Bradi1g44640	Os06t0239700-01
Bradi5g17947	Os04t0555600-01
Bradi2g13860	Os04t0341900-00
Bradi2g50860	Os01t0764950-01
Bradi3g60180	Os02t0785800-01
Bradi1g72510	Os03t0181800-01
Bradi1g59820	Os07t0100900-01
Bradi5g04080	Os12t0274700-01
Bradi2g22222	Os05t0375400-01
Bradi2g22250	Os05t0478200-01
Bradi1g11760	Os03t0698800-01
Bradi3g30100	Os10t0501200-00
Bradi3g00686	Os07t0498800-02
Bradi3g32510	Os10t0545200-01
Bradi1g46720	Os06t0193200-01
Bradi1g49730	Os06t0129200-01
Bradi1g29570	Os02t0831500-01
Bradi4g16930	Os12t0481000-00
Bradi3g58190	Os02t0761200-01
Bradi1g65750	Os03t0287800-00
Bradi2g59537	Os01t0929000-01
Bradi1g70550	Os03t0210200-01
Bradi1g32970	Os06t0682700-00
Bradi4g39260	Os12t0263200-01
Bradi4g16040	Os11t0572100-01
Bradi5g04730	Os04t0258900-01
Bradi1g76050	Os03t0135400-01
Bradi2g07770	Os01t0231000-02
Bradi2g35940	Os09t0514500-00
Bradi1g33870	Os06t0698200-00
Bradi2g17140	Os10t0388600-00
Bradi2g02976	Os01t0144340-00
Bradi1g73030	Os03t0174100-02
Bradi4g18203	Os11t0296500-01
Bradi1g24640	Os07t0564200-01
Bradi4g27736	Os09t0306566-00
Bradi4g01513	Os09t0517800-01
Bradi4g32941	Os08t0487800-01
Bradi4g37555	Os02t0815700-01
Bradi5g16650	Os04t0532100-01
Bradi2g20430	Os05t0508500-01
Bradi3g35043	Os08t0410950-00
Bradi3g02441	Os10t0429200-00
Bradi4g19047	Os11t0490800-02
Bradi3g26670	Os10t0395500-01
Bradi3g44197	Os02t0511900-00
Bradi4g32816	Os04t0679967-01
Bradi2g02537	Os01t0138400-01
Bradi4g35477	Os09t0520600-01
Bradi3g53390	Os02t0717100-01
Bradi5g24227	Os04t0650700-01
Bradi4g03477	Os12t0581700-01
Bradi3g20550	Os08t0327100-01
Bradi3g18572	Os04t0350000-02
Bradi3g00640	Os09t0485900-01
Bradi4g08340	Os09t0110300-01
Bradi3g42670	Os08t0556550-01
Bradi3g20815	Os07t0554100-00
Bradi3g03170	Os02t0136000-00
Bradi2g35610	Os05t0151200-01
Bradi4g34111	Os09t0497100-01
Bradi2g51040	Os12t0572500-01
Bradi5g04000	Os04t0227200-00
Bradi4g06710	Os12t0506400-01
Bradi1g16590	Os07t0693700-01
Bradi3g34273	Os10t0462300-01
Bradi3g52590	Os02t0702100-01
Bradi4g10439	Os04t0650200-01
Bradi4g11710	Os11t0642800-01
Bradi2g22800	Os05t0466100-01
Bradi2g17615	Os05t0370100-00
Bradi5g00676	Os04t0168100-00
Bradi3g14500	Os08t0136100-01
Bradi2g38750	Os05t0111200-01
Bradi1g63500	Os03t0330300-02
Bradi4g18910	Os11t0496500-01
Bradi3g56700	Os01t0608300-00
Bradi3g36750	Os08t0435800-01
Bradi1g70590	Os03t0209500-01
Bradi4g14010	Os11t0607100-01
Bradi2g46370	Os01t0674800-01
Bradi2g03687	Os01t0102700-01
Bradi3g13431	Os09t0566300-01
Bradi1g05150	Os03t0800700-01
Bradi1g29215	Os06t0731300-00
Bradi2g08330	Os01t0239100-02
